HCPCS,MOD,DESCRIPTION,STATUS
J0390,,Chloroquine injection,E
J0391,,"Inj, artesunate, 1mg",E
J0395,,Arbutamine hcl injection,E
J0400,,Aripiprazole injection,E
J0401,,Inj aripiprazole ext rel 1mg,E
J0402,,"Inj, abilify asimtufii, 1 mg",E
J0456,,Azithromycin,E
J0457,,"Injection, aztreonam, 100 mg",E
J0461,,Atropine sulfate injection,E
J0470,,Dimecaprol injection,E
J0475,,Baclofen 10 mg injection,E
J0476,,Baclofen intrathecal trial,E
J0480,,Basiliximab,E
J0485,,Belatacept injection,E
J0490,,Belimumab injection,E
J0491,,Inj anifrolumab-fnia 1mg,E
J0500,,Dicyclomine injection,E
J0515,,Inj benztropine mesylate,E
J0517,,"Inj., benralizumab, 1 mg",E
J0520,,Bethanechol chloride inject,E
J0558,,Peng benzathine/procaine inj,E
J0561,,Penicillin g benzathine inj,E
J0565,,"Inj, bezlotoxumab, 10 mg",E
J0567,,"Inj., cerliponase alfa 1 mg",E
J0570,,Buprenorphine implant 74.2mg,E
J0571,,Buprenorphine oral 1mg,E
J0572,,Bupren/nal up to 3mg bupreno,E
J0573,,Bupren/nal 3.1 to 6mg bupren,E
J0574,,Bupren/nal 6.1 to 10mg bupre,E
J0575,,Bupren/nal over 10mg bupreno,E
J0576,,Inj buprenorph (brixadi) 1mg,I
J0577,,"Inj, brixadi, 7 days or less",E
J0578,,"Inj,brixadi, more than 7 day",E
J0583,,Bivalirudin,E
J0584,,"Injection, burosumab-twza 1m",E
J0585,,"Injection,onabotulinumtoxina",E
J0586,,Abobotulinumtoxina,E
J0587,,"Inj, rimabotulinumtoxinb",E
J0588,,Incobotulinumtoxin a,E
J0589,,Inj daxibotulinumtoxina-lanm,E
J0591,,"Inj deoxycholic acid, 1 mg",E
J0592,,Buprenorphine hydrochloride,E
J0593,,"Inj., lanadelumab-flyo, 1 mg",E
J0594,,Busulfan injection,E
J0595,,Butorphanol tartrate 1 mg,E
J0596,,"Injection, ruconest",E
J0597,,"C-1 esterase, berinert",E
J0598,,"C-1 esterase, cinryze",E
J0599,,"Inj., haegarda 10 units",E
J0600,,Edetate calcium disodium inj,E
J0604,,"Cinacalcet, esrd on dialysis",E
J0606,,"Inj, etelcalcetide, 0.1 mg",E
J0612,,"Inj, calcium gluconate, nos",E
J0613,,Calcium glucon (wg critical),E
J0620,,Calcium glycer & lact/10 ml,E
J0630,,Calcitonin salmon injection,E
J0636,,Inj calcitriol per 0.1 mcg,E
J0637,,Caspofungin acetate,E
J0638,,Canakinumab injection,E
J0640,,Leucovorin calcium injection,E
J0641,,Inj levoleucovorin nos 0.5mg,E
J0642,,"Injection, khapzory, 0.5 mg",E
J0650,,"Inj, levothyroxine nos 10mcg",E
J0651,,"Inj, levothyroxine, freskabi",E
J0652,,"Inj, levothyroxine, hikma",E
J0665,,"Inj, bupivacaine, nos, 0.5mg",E
J0670,,Inj mepivacaine hcl/10 ml,E
J0688,,"Inj cefazolin sodium, hikma",E
J0689,,"Inj cefazolin sodium, baxter",E
J0690,,Cefazolin sodium injection,E
J0691,,Inj lefamulin 1 mg,E
J0692,,Cefepime hcl for injection,E
J0694,,Cefoxitin sodium injection,E
J0695,,Inj ceftolozane tazobactam,E
J0696,,Ceftriaxone sodium injection,E
J0697,,Sterile cefuroxime injection,E
J0698,,Cefotaxime sodium injection,E
J0699,,"Inj, cefiderocol, 10 mg",E
J0701,,Inj. cefepime hcl (baxter),E
J0702,,Betamethasone acet&sod phosp,E
J0703,,"Inj, cefepime hcl (b braun)",E
J0706,,Caffeine citrate injection,E
J0710,,Cephapirin sodium injection,E
J0712,,Ceftaroline fosamil inj,E
J0713,,Inj ceftazidime per 500 mg,E
J0714,,Ceftazidime and avibactam,E
J0715,,Ceftizoxime sodium / 500 mg,E
J0716,,Centruroides immune f(ab),E
J0717,,Certolizumab pegol inj 1mg,E
J0720,,Chloramphenicol sodium injec,E
J0725,,Chorionic gonadotropin/1000u,E
J0735,,Clonidine hydrochloride,E
J0736,,"Inj, clindamycin phosp 300mg",E
J0737,,"Inj, clindamycin (baxter)",E
J0739,,"Hiv prep, inj, cabotegravir",X
J0740,,Cidofovir injection,E
J0741,,"Inj, cabote rilpivir 2mg 3mg",E
J0742,,Inj imip 4 cilas 4 releb 2mg,E
J0743,,Cilastatin sodium injection,E
J0744,,Ciprofloxacin iv,E
J0745,,Inj codeine phosphate /30 mg,E
J0750,,"Hiv prep, ftc/tdf 200/300mg",X
J0751,,"Hiv prep, ftc/taf 200/25mg",X
J0770,,Colistimethate sodium inj,E
J0775,,"Collagenase, clost hist inj",E
J0780,,Prochlorperazine injection,E
J0791,,Inj crizanlizumab-tmca 5mg,E
J0795,,Corticorelin ovine triflutal,E
J0799,,"Hiv prep, fda approved, noc",X
J0801,,Inj. acthar gel to 40 units,E
J0802,,"Inj. (ani), up to 40 units",E
J0834,,"Inj., cosyntropin, 0.25 mg",E
J0840,,Crotalidae poly immune fab,E
J0841,,Inj crotalidae im f(ab')2 eq,E
J0850,,Cytomegalovirus imm iv /vial,E
J0873,,"Inj, daptomycin (xellia)",E
J0874,,"Inj, daptomycin (baxter)",E
J0875,,"Injection, dalbavancin",E
J0877,,"Inj, daptomycin (hospira)",E
J0878,,Daptomycin injection,E
J0879,,"Difelikefalin, esrd on dialy",E
J0881,,"Darbepoetin alfa, non-esrd",E
J0882,,"Darbepoetin alfa, esrd use",E
J0883,,Argatroban nonesrd use 1mg,E
J0884,,Argatroban esrd dialysis 1mg,E
J0885,,"Epoetin alfa, non-esrd",E
J0887,,Epoetin beta esrd use,E
J0888,,Epoetin beta non esrd,E
J0889,,Daprodustat oral 1mg esrd,E
J0890,,Peginesatide injection,E
J0891,,Argatroban nonesrd (accord),E
J0892,,Argatroban dialysis (accord),E
J0893,,"Inj, decitabine (sun pharma)",E
J0894,,Decitabine injection,E
J0895,,Deferoxamine mesylate inj,E
J0896,,Inj luspatercept-aamt 0.25mg,E
J0897,,Denosumab injection,E
J0898,,Argatroban nonesrd (auromed),E
J0899,,"Argatroban dialysis, auromed",E
J0945,,Brompheniramine maleate inj,E
J1000,,Depo-estradiol cypionate inj,E
J1010,,"Inj, methylpred acetate 1 mg",E
J1020,,Methylprednisolone 20 mg inj,I
J1030,,Methylprednisolone 40 mg inj,I
J1040,,Methylprednisolone 80 mg inj,I
J1050,,Medroxyprogesterone acetate,E
J1071,,Inj testosterone cypionate,E
J1094,,Inj dexamethasone acetate,E
J1095,,"Injection, dexamethasone 9%",E
J1096,,Dexametha opth insert 0.1 mg,E
J1097,,Phenylep ketorolac opth soln,E
J1100,,Dexamethasone sodium phos,E
J1105,,"Dexmedetomidine film, 1 mcg",N
J1110,,Inj dihydroergotamine mesylt,E
J1120,,Acetazolamid sodium injectio,E
J1130,,Inj diclofenac sodium 0.5mg,E
J1160,,Digoxin injection,E
J1162,,Digoxin immune fab (ovine),E
J1165,,Phenytoin sodium injection,E
J1170,,Hydromorphone injection,E
J1180,,Dyphylline injection,E
J1190,,Dexrazoxane hcl injection,E
J1200,,Diphenhydramine hcl injectio,E
J1201,,Inj. cetirizine hcl 0.5mg,E
J1202,,Miglustat oral 65 mg,I
J1203,,"Inj, cipaglucosidase, 5 mg",E
J1205,,Chlorothiazide sodium inj,E
J1212,,Dimethyl sulfoxide 50% 50 ml,E
J1230,,Methadone injection,E
J1240,,Dimenhydrinate injection,E
J1245,,Dipyridamole injection,E
J1250,,Inj dobutamine hcl/250 mg,E
J1260,,Dolasetron mesylate,E
J1265,,Dopamine injection,E
J1267,,Doripenem injection,E
J1270,,"Injection, doxercalciferol",E
J1290,,Ecallantide injection,E
J1300,,Eculizumab injection,E
J1301,,"Injection, edaravone, 1 mg",E
J1302,,"Inj, sutimlimab-jome, 10 mg",E
J1303,,"Inj., ravulizumab-cwvz 10 mg",E
J1304,,Inj tofersen intrathec 1 mg,E
J1305,,"Inj, evinacumab-dgnb, 5mg",E
J1306,,"Injection, inclisiran, 1 mg",E
J1320,,Amitriptyline injection,E
J1322,,"Elosulfase alfa, injection",E
J1323,,"Inj, elranatamab-bcmm, 1 mg",E
J1324,,Enfuvirtide injection,E
J1325,,Epoprostenol injection,E
J1327,,Eptifibatide injection,E
J1330,,Ergonovine maleate injection,E
J1335,,Ertapenem injection,E
J1364,,Erythro lactobionate /500 mg,E
J1380,,Estradiol valerate 10 mg inj,E
J1410,,Inj estrogen conjugate 25 mg,E
J1411,,"Inj, hemgenix, per tx dose",E
J1412,,Inj roctavian ml 2x10^13vc g,E
J1413,,Inj delandistrogene mox rokl,E
J1426,,"Injection, casimersen, 10 mg",E
J1427,,Inj. viltolarsen,E
J1428,,"Inj, eteplirsen, 10 mg",E
J1429,,Inj golodirsen 10 mg,E
J1430,,Ethanolamine oleate 100 mg,E
J1434,,"Inj, focinvez, 1mg",E
J1435,,Injection estrone per 1 mg,E
J1436,,Etidronate disodium inj,E
J1437,,Inj. fe derisomaltose 10 mg,E
J1438,,Etanercept injection,E
J1439,,Inj ferric carboxymaltos 1mg,E
J1440,,Fecal microbiota jslm 1 ml,E
J1442,,Inj filgrastim excl biosimil,E
J1443,,Inj ferric pyrophosphate cit,E
J1444,,Fe pyro cit pow 0.1 mg iron,E
J1445,,Inj triferic avnu 0.1mg iron,E
J1447,,Inj tbo filgrastim 1 microg,E
J1448,,"Injection, trilaciclib, 1mg",E
J1449,,Inj eflapegrastim-xnst 0.1mg,E
J1450,,Fluconazole,E
J1451,,"Fomepizole, 15 mg",E
J1452,,Intraocular fomivirsen na,E
J1453,,Fosaprepitant injection,E
J1454,,"Inj fosnetupitant, palonoset",E
J1455,,Foscarnet sodium injection,E
J1456,,"Inj, fosaprepitant (teva)",E
J1457,,Gallium nitrate injection,E
J1458,,Galsulfase injection,E
J1459,,Inj ivig privigen 500 mg,E
J1460,,Gamma globulin 1 cc inj,E
J1551,,Inj cutaquig 100 mg,E
J1554,,Inj. asceniv,E
J1555,,"Inj cuvitru, 100 mg",E
J1556,,"Inj, imm glob bivigam, 500mg",E
J1557,,Gammaplex injection,E
J1558,,"Inj. xembify, 100 mg",E
J1559,,Hizentra injection,E
J1560,,Gamma globulin > 10 cc inj,E
J1561,,Gamunex-c/gammaked,E
J1562,,"Vivaglobin, inj",E
J1566,,"Immune globulin, powder",E
J1568,,Octagam injection,E
J1569,,Gammagard liquid injection,E
J1570,,Ganciclovir sodium injection,E
J1571,,Hepagam b im injection,E
J1572,,Flebogamma injection,E
J1573,,"Hepagam b intravenous, inj",E
J1574,,"Inj, ganciclovir (exela)",E
J1575,,Hyqvia 100mg immuneglobulin,E
J1576,,"Inj, panzyga, 500 mg",E
J1580,,Garamycin gentamicin inj,E
J1595,,Injection glatiramer acetate,E
J1596,,"Inj, glycopyrrolate, 0.1 mg",E
J1599,,"Ivig non-lyophilized, nos",E
J1600,,Gold sodium thiomaleate inj,E
J1602,,Golimumab for iv use 1mg,E
J1610,,Glucagon hydrochloride/1 mg,E
J1611,,"Inj glucagon hcl, fresenius",E
J1620,,Gonadorelin hydroch/ 100 mcg,E
J1626,,Granisetron hcl injection,E
J1627,,"Inj, granisetron, xr, 0.1 mg",E
J1628,,"Inj., guselkumab, 1 mg",E
J1630,,Haloperidol injection,E
J1631,,Haloperidol decanoate inj,E
J1632,,"Inj., brexanolone, 1 mg",E
J1640,,"Hemin, 1 mg",E
J1642,,Inj heparin sodium per 10 u,E
J1643,,"Inj heparin, pfizer, 1000u",E
J1644,,Inj heparin sodium per 1000u,E
J1645,,Dalteparin sodium,E
J1650,,Inj enoxaparin sodium,E
J1652,,Fondaparinux sodium,E
J1655,,Tinzaparin sodium injection,E
J1670,,Tetanus immune globulin inj,E
J1675,,Histrelin acetate,E
J1700,,Hydrocortisone acetate inj,E
J1710,,Hydrocortisone sodium ph inj,E
J1720,,Hydrocortisone sodium succ i,E
J1726,,"Makena, 10 mg",E
J1729,,Inj hydroxyprogst capoat nos,E
J1730,,Diazoxide injection,E
J1738,,Inj. meloxicam 1 mg,E
J1740,,Ibandronate sodium injection,E
J1741,,Ibuprofen injection,E
J1742,,Ibutilide fumarate injection,E
J1743,,Idursulfase injection,E
J1744,,Icatibant injection,E
J1745,,Infliximab not biosimil 10mg,E
J1746,,"Inj., ibalizumab-uiyk, 10 mg",E
J1747,,"Inj, spesolimab-sbzo, 1 mg",E
J1750,,Inj iron dextran,E
J1756,,Iron sucrose injection,E
J1786,,Imuglucerase injection,E
J1790,,Droperidol injection,E
J1800,,Propranolol injection,E
J1805,,"Inj, esmolol hcl, 10mg",E
J1806,,Inj esmolol hcl wg crit care,E
J1810,,Droperidol/fentanyl inj,E
J1811,,Fiasp for insulin pump use,E
J1812,,Inj. insulin (fiasp),E
J1813,,Lyumjev for insulin pump use,E
J1814,,Inj. insulin (lyumjev),E
J1815,,Insulin injection,E
J1817,,Insulin for insulin pump use,E
J1823,,"Inj. inebilizumab-cdon, 1 mg",E
J1826,,Interferon beta-1a inj,E
J1830,,Interferon beta-1b / .25 mg,E
J1833,,"Injection, isavuconazonium",E
J1835,,Itraconazole injection,E
J1836,,"Inj, metronidazole, 10 mg",E
J1840,,Kanamycin sulfate 500 mg inj,I
J1850,,Kanamycin sulfate 75 mg inj,I
J1885,,Ketorolac tromethamine inj,E
J1890,,Cephalothin sodium injection,E
J1920,,"Inj, labetalol hcl, 5mg",E
J1921,,"Inj labetalol hcl hikma, 5mg",E
J1930,,Lanreotide injection,E
J1931,,Laronidase injection,E
J1932,,"Inj, lanreotide, (cipla) 1mg",E
J1939,,"Inj, bumetanide, 0.5 mg",E
J1940,,Furosemide injection,E
J1941,,"Inj, furoscix, 20 mg",E
J1943,,"Inj., aristada initio, 1 mg",E
J1944,,Aripiprazole lauroxil 1 mg,E
J1945,,Lepirudin,E
J1950,,Leuprolide acetate /3.75 mg,E
J1951,,Inj fensolvi 0.25 mg,E
J1952,,"Leuprolide inj, camcevi, 1mg",E
J1953,,Levetiracetam injection,E
J1954,,Leuprolide depot cipla 7.5mg,E
J1955,,Inj levocarnitine per 1 gm,E
J1956,,Levofloxacin injection,E
J1960,,Levorphanol tartrate inj,E
J1961,,"Inj, lenacapavir, 1 mg",E
J1980,,Hyoscyamine sulfate inj,E
J1990,,Chlordiazepoxide injection,E
J2001,,Lidocaine injection,E
J2010,,Lincomycin injection,E
J2020,,Linezolid injection,E
J2021,,"Inj, linezolid (hospira)",E
J2060,,Lorazepam injection,E
J2062,,Loxapine for inhalation 1 mg,E
J2150,,Mannitol injection,E
J2170,,Mecasermin injection,E
J2175,,Meperidine hydrochl /100 mg,E
J2180,,Meperidine/promethazine inj,E
J2182,,"Injection, mepolizumab, 1mg",E
J2184,,"Inj, meropenem (b. braun)",E
J2185,,Meropenem,E
J2186,,"Inj., meropenem, vaborbactam",E
J2210,,Methylergonovin maleate inj,E
J2212,,Methylnaltrexone injection,E
J2247,,"Inj, micafungin (par pharm)",E
J2248,,Micafungin sodium injection,E
J2249,,"Inj, remimazolam, 1 mg",E
J2250,,Inj midazolam hydrochloride,E
J2251,,Inj midazolam (wg crit care),E
J2260,,Inj milrinone lactate / 5 mg,E
J2265,,Minocycline hydrochloride,E
J2270,,Morphine sulfate injection,E
J2272,,"Inj, morphine (fresenius)",E
J2274,,Inj morphine pf epid ithc,E
J2277,,"Inj, motixafortide, 0.25 mg",E
J2278,,Ziconotide injection,E
J2280,,"Inj, moxifloxacin 100 mg",E
J2281,,Inj moxifloxacin (fres kabi),E
J2300,,Inj nalbuphine hydrochloride,E
J2305,,"Inj, nitroglycerin, 5 mg",E
J2310,,Inj naloxone hydrochloride,E
J2311,,"Inj, naloxone hcl (zimhi)",E
J2315,,"Naltrexone, depot form",E
J2320,,Nandrolone decanoate 50 mg,E
J2323,,Natalizumab injection,E
J2325,,Nesiritide injection,E
J2326,,"Inj, nusinersen, 0.1mg",E
J2327,,Inj risankizumab-rzaa 1 mg,E
J2329,,"Inj ublituximab-xiiy, 1 mg",E
J2350,,"Injection, ocrelizumab, 1 mg",E
J2353,,"Octreotide injection, depot",E
J2354,,"Octreotide inj, non-depot",E
J2355,,Oprelvekin injection,E
J2356,,"Inj tezepelumab-ekko, 1mg",E
J2357,,Omalizumab injection,E
J2358,,Olanzapine long-acting inj,E
J2359,,"Inj. olanzapine, 0.5mg",E
J2360,,Orphenadrine injection,E
J2371,,Inj phenylephrine hcl 20 mcg,E
J2372,,"Inj, biorphen, 20 micrograms",E
J2401,,Chloroprocaine hcl injection,E
J2402,,Chloroprocaine (clorotekal),E
J2403,,"Chloroprocaine opht gel, 1mg",E
J2404,,"Inj, nicardipine 0.1 mg",E
J2405,,Ondansetron hcl injection,E
J2406,,"Injection, oritavancin 10 mg",E
J2407,,"Injection, oritavancin",E
J2410,,Oxymorphone hcl injection,E
J2425,,Palifermin injection,E
J2426,,"Inj, invega sustenna, 1 mg",E
J2427,,"Inj, invega hafyera/trinza",E
J2430,,Pamidronate disodium /30 mg,E
J2440,,Papaverin hcl injection,E
J2460,,Oxytetracycline injection,E
J2469,,Palonosetron hcl,E
J2501,,Paricalcitol,E
J2502,,"Inj, pasireotide long acting",E
J2503,,Pegaptanib sodium injection,E
J2504,,"Pegademase bovine, 25 iu",E
J2506,,Inj pegfilgrast ex bio 0.5mg,E
J2507,,Pegloticase injection,E
J2508,,Pegunigalsidase alfa-iwxj,E
J2510,,Penicillin g procaine inj,E
J2513,,Pentastarch 10% solution,E
J2515,,Pentobarbital sodium inj,E
J2540,,Penicillin g potassium inj,E
J2543,,Piperacillin/tazobactam,E
J2545,,Pentamidine non-comp unit,E
J2547,,"Injection, peramivir",E
J2550,,Promethazine hcl injection,E
J2560,,Phenobarbital sodium inj,E
J2561,,"Inj, sezaby, 1 mg",E
J2562,,Plerixafor injection,E
J2590,,Oxytocin injection,E
J2597,,Inj desmopressin acetate,E
J2598,,"Inj, vasopressin, 1 unit",E
J2599,,Inj vasopressin (am reg) 1 u,E
J2650,,Prednisolone acetate inj,E
J2670,,Totazoline hcl injection,E
J2675,,Inj progesterone per 50 mg,E
J2679,,Inj fluphenazine hcl 1.25 mg,E
J2680,,Fluphenazine decanoate 25 mg,E
J2690,,Procainamide hcl injection,E
J2700,,Oxacillin sodium injeciton,E
J2704,,"Inj, propofol, 10 mg",E
J2710,,Neostigmine methylslfte inj,E
J2720,,Inj protamine sulfate/10 mg,E
J2724,,Protein c concentrate,E
J2725,,Inj protirelin per 250 mcg,E
J2730,,Pralidoxime chloride inj,E
J2760,,Phentolaine mesylate inj,E
J2765,,Metoclopramide hcl injection,E
J2770,,Quinupristin/dalfopristin,E
J2777,,"Inj, faricimab-svoa, 0.1mg",E
J2778,,Ranibizumab injection,E
J2779,,"Inj, susvimo 0.1 mg",E
J2780,,Ranitidine hydrochloride inj,E
J2781,,"Inj, pegcetacoplan, 1mg",E
J2782,,Inj avacincapted pegol 0.1mg,E
J2783,,Rasburicase,E
J2785,,Regadenoson injection,E
J2786,,"Injection, reslizumab, 1mg",E
J2787,,Riboflavin 5'phos opth<=3ml,E
J2788,,Rho d immune globulin 50 mcg,E
J2790,,Rho d immune globulin inj,E
J2791,,Rhophylac injection,E
J2792,,"Rho(d) immune globulin h, sd",E
J2793,,Rilonacept injection,E
J2794,,"Inj risperdal consta, 0.5 mg",E
J2795,,Ropivacaine hcl injection,E
J2796,,Romiplostim injection,E
J2797,,"Inj., rolapitant, 0.5 mg",E
J2798,,"Inj., perseris, 0.5 mg",E
J2799,,"Inj, uzedy, 1 mg",E
J2800,,Methocarbamol injection,E
J2801,,"Inj, rykindo, 0.5 mg",E
J2805,,Sincalide injection,E
J2806,,"Inj sincalide, maia, 5 mcg",E
J2810,,Inj theophylline per 40 mg,E
J2820,,Sargramostim injection,E
J2840,,Inj sebelipase alfa 1 mg,E
J2850,,Inj secretin synthetic human,E
J2860,,"Injection, siltuximab",E
J2910,,Aurothioglucose injeciton,E
J2916,,Na ferric gluconate complex,E
J2919,,"Inj, methylpred sod succ 5mg",E
J2920,,Methylprednisolone injection,I
J2930,,Methylprednisolone injection,I
J2940,,Somatrem injection,E
J2941,,Somatropin injection,E
J2950,,Promazine hcl injection,E
J2993,,Reteplase injection,E
J2995,,Inj streptokinase /250000 iu,E
J2997,,Alteplase recombinant,E
J2998,,Inj plasminogen tvmh 1mg,E
J3000,,Streptomycin injection,E
J3010,,Fentanyl citrate injection,E
J3030,,Sumatriptan succinate / 6 mg,E
J3031,,"Inj., fremanezumab-vfrm 1 mg",E
J3032,,Inj. eptinezumab-jjmr 1 mg,E
J3055,,Inj talquetamab-tgvs 0.25 mg,E
J3060,,"Inj, taliglucerase alfa 10 u",E
J3070,,Pentazocine injection,E
J3090,,Inj tedizolid phosphate,E
J3095,,Telavancin injection,E
J3101,,Tenecteplase injection,E
J3105,,Terbutaline sulfate inj,E
J3110,,Teriparatide injection,E
J3111,,Inj. romosozumab-aqqg 1 mg,E
J3121,,Inj testostero enanthate 1mg,E
J3145,,Testosterone undecanoate 1mg,E
J3230,,Chlorpromazine hcl injection,E
J3240,,Thyrotropin injection,E
J3241,,Inj. teprotumumab-trbw 10 mg,E
J3243,,Tigecycline injection,E
J3244,,Inj. tigecycline (accord),E
J3245,,"Inj., tildrakizumab, 1 mg",E
J3246,,Tirofiban hcl,E
J3250,,Trimethobenzamide hcl inj,E
J3260,,Tobramycin sulfate injection,E
J3262,,Tocilizumab injection,E
J3265,,Injection torsemide 10 mg/ml,E
J3280,,Thiethylperazine maleate inj,E
J3285,,Treprostinil injection,E
J3299,,Inj xipere 1 mg,E
J3300,,Triamcinolone a inj prs-free,E
J3301,,Triamcinolone acet inj nos,E
J3302,,Triamcinolone diacetate inj,E
J3303,,Triamcinolone hexacetonl inj,E
J3304,,Inj triamcinolone ace xr 1mg,E
J3305,,Inj trimetrexate glucoronate,E
J3310,,Perphenazine injeciton,E
J3315,,Triptorelin pamoate,E
J3316,,"Inj., triptorelin xr 3.75 mg",E
J3320,,Spectinomycn di-hcl inj,E
J3350,,Urea injection,E
J3355,,"Urofollitropin, 75 iu",E
J3357,,"Ustekinumab sub cu inj, 1 mg",E
J3358,,"Ustekinumab, iv inject, 1 mg",E
J3360,,Diazepam injection,E
J3364,,Urokinase 5000 iu injection,E
J3365,,"Urokinase 250,000 iu inj",E
J3370,,Vancomycin hcl injection,E
J3371,,"Inj, vancomycin hcl (mylan)",E
J3372,,"Inj, vancomycin hcl (xellia)",E
J3380,,Inj vedolizumab iv 1 mg,E
J3385,,Velaglucerase alfa,E
J3396,,Verteporfin injection,E
J3397,,"Inj., vestronidase alfa-vjbk",E
J3398,,Inj luxturna 1 billion vec g,E
J3399,,Inj onase abepar-xioi treat,E
J3400,,Triflupromazine hcl inj,E
J3401,,"Vyjuvek 5x10^9pfu/ml, 0.1 ml",E
J3410,,Hydroxyzine hcl injection,E
J3411,,Thiamine hcl 100 mg,E
J3415,,Pyridoxine hcl 100 mg,E
J3420,,Vitamin b12 injection,E
J3424,,"Inj, hydroxocobalamin iv 10g",E
J3425,,Hydroxocobalamin im 10mcg,E
J3430,,Vitamin k phytonadione inj,E
J3465,,"Injection, voriconazole",E
J3470,,Hyaluronidase injection,E
J3471,,"Ovine, up to 999 usp units",E
J3472,,"Ovine, 1000 usp units",E
J3473,,Hyaluronidase recombinant,E
J3475,,Inj magnesium sulfate,E
J3480,,Inj potassium chloride,E
J3485,,Zidovudine,E
J3486,,Ziprasidone mesylate,E
J3489,,Zoledronic acid 1mg,E
J3490,,Drugs unclassified injection,E
J3520,,Edetate disodium per 150 mg,N
J3530,,Nasal vaccine inhalation,E
J3535,,Metered dose inhaler drug,N
J3570,,Laetrile amygdalin vit b17,N
J3590,,Unclassified biologics,E
J3591,,Esrd on dialysi drug/bio noc,E
J7030,,Normal saline solution infus,E
J7040,,Normal saline solution infus,E
J7042,,5% dextrose/normal saline,E
J7050,,Normal saline solution infus,E
J7060,,5% dextrose/water,E
J7070,,D5w infusion,E
J7100,,Dextran 40 infusion,E
J7110,,Dextran 75 infusion,E
J7120,,Ringers lactate infusion,E
J7121,,5% dextrose in lac ringers,E
J7131,,Hypertonic saline sol,E
J7165,,"Inj, human-lans, per i.u",E
J7168,,Prothrombin complex kcentra,E
J7169,,"Inj andexxa, 10 mg",E
J7170,,"Inj., emicizumab-kxwh 0.5 mg",E
J7175,,"Inj, factor x, (human), 1iu",E
J7177,,"Inj., fibryga, 1 mg",E
J7178,,Inj human fibrinogen con nos,E
J7179,,Vonvendi inj 1 iu vwf:rco,E
